,model,sample_size,n_samples,KL Divergence,Wasserstein,MMD
30,llama2:13b,rs_size_10,1239,15.053981976329966,0.19598582900009465,0.05214795095523761
36,llama3:70b,rs_size_150,3038,15.205986636765232,0.1962853767240944,0.10729222220638812
32,llama2:13b,rs_size_5,1091,15.376638647966784,0.5112747587097661,0.27587423783091347
41,llama3:8b,rs_size_100,2323,15.501386522843514,0.24530700761168692,0.17095194970980798
2,claude-3-5-sonnet-20240620,rs_size_150,4499,15.6438234647719,0.16984945571336718,0.11249708711307371
51,mistral:7b,rs_size_50,707,15.655071118562232,0.1348542924400419,0.03885837592889185
45,llama3:8b,rs_size_50,2250,15.72649339765142,0.23784237506970166,0.06956994765275493
35,llama3:70b,rs_size_100,2347,15.924117400858991,0.16143543363207755,0.11816967653244159
40,llama3:8b,rs_size_10,2259,16.22143552152924,0.2012878837807531,0.08798628245446216
38,llama3:70b,rs_size_5,1230,16.860366085752425,0.6179763072139767,0.31330339983385846
34,llama3:70b,rs_size_10,1453,18.11392345451731,0.16628617437915075,0.10704056345557378
53,mixtral:8x22b,rs_size_100,2858,18.199201935908867,0.29826209541685983,0.24940928357364311
21,gpt-3.5-turbo-0125,rs_size_25,3813,20.537828515868384,0.101488288582432,0.04531587390131109
42,llama3:8b,rs_size_150,2017,20.82770506717903,0.4160992445815879,0.23785111812145643
20,gpt-3.5-turbo-0125,rs_size_150,3956,20.849498740467503,0.25112086007546336,0.24580498410334806
60,phi3:medium-128k,rs_size_5,3295,21.912851216911047,0.5640273532932009,0.3890084260844002
39,llama3:70b,rs_size_50,1997,22.239125924490892,0.2751248291240806,0.14052308343495712
44,llama3:8b,rs_size_5,2196,24.695539137234494,0.8020711899950383,0.4929958118507262
48,mistral:7b,rs_size_150,365,24.872715536061897,0.8384837039845738,0.3496487968519627
47,mistral:7b,rs_size_100,227,28.497394365659844,0.556284272327089,0.2548014237067233
54,mixtral:8x22b,rs_size_150,3775,29.34471266999484,0.40596737056702825,0.6301656425975455
4,claude-3-5-sonnet-20240620,rs_size_5,4500,30.05827731262824,0.04475506818978104,0.012730078511978826
67,phi3:mini-128k,rs_size_50,15,30.12596660795556,0.7781848294043179,0.2558317935246146
37,llama3:70b,rs_size_25,1632,31.511336764474226,0.10490292943273083,0.04579775203862946
15,gemma:7b,rs_size_25,102,35.01448912772526,0.07049799668708534,0.01084267202230027
49,mistral:7b,rs_size_25,401,35.9307522370416,0.2881228077895991,0.03441853194750877
1,claude-3-5-sonnet-20240620,rs_size_100,4500,37.29469972843737,0.1313991934250239,0.1179277641856642
16,gemma:7b,rs_size_5,209,37.58120020983552,0.8879741960501636,0.9865829777589153
61,phi3:medium-128k,rs_size_50,423,37.95510026236015,0.0828007013476675,0.005546705834595267
12,gemma:7b,rs_size_10,136,38.22512384680775,0.291697008217441,0.05375782945144514
13,gemma:7b,rs_size_100,436,38.472420617384984,0.12124078456594767,0.10205232947921439
63,phi3:mini-128k,rs_size_100,11,39.21013705051405,0.19452263552450724,0.026944527433963694
14,gemma:7b,rs_size_150,228,39.259425197676265,0.0961731569443356,0.014183015838233892
64,phi3:mini-128k,rs_size_150,10,39.305447230318364,0.7266711332083109,0.13661604288707307
66,phi3:mini-128k,rs_size_5,8,39.87516437191262,0.3759274471619335,0.4326959312595241
65,phi3:mini-128k,rs_size_25,13,40.123574787495215,0.10794337077785353,0.08935862221693958
31,llama2:13b,rs_size_25,897,40.296090602962565,0.06024523613299176,0.006300714260347728
17,gemma:7b,rs_size_50,7,40.33099806384627,0.4595923989940092,0.04777064841982459
62,phi3:mini-128k,rs_size_10,2,41.60803231929557,0.08304310278762651,0.026821033084012624
33,llama2:13b,rs_size_50,33,,0.13948460506015228,0.11049895809800248
